Step	Sf2	Ss2	tau_f	tau_s	f
{count}	0.88310642371144	0.8192756505063	4.8050330730749e-11	6.0349546030860185e-09	-3.0423278644885765
{count}	0.8990194002767989	0.7202851234861235	4.9938501603868264e-11	7.705142233454664e-09	-2.948059127158236
{count}	0.8798531910236248	0.8395131728179421	4.766431500456588e-11	5.693503148571338e-09	-3.0616000689352125
{count}	0.8774008834243768	0.8644741537578271	4.7967658733541566e-11	4.624243901317979e-09	-3.2377753057045147
{count}	0.8774008834243768	0.8644741537578271	4.7967658733541566e-11	4.624243901317979e-09	-3.2377753057045147
{count}	0.8417516535084861	0.8622159776015401	4.751241640316352e-11	7.1426937639178505e-09	-3.111122664305733
{count}	0.8486353994371895	0.8807789442808154	4.782052711154734e-11	5.866779248142203e-09	-3.273595280377179
{count}	0.8346525243059106	0.8799034862751466	4.893663077463213e-11	6.897138356821865e-09	-3.242400556320204
{count}	0.8346525243059106	0.8799034862751466	4.893663077463213e-11	6.897138356821865e-09	-3.242400556320204
{count}	0.8346525243059106	0.8799034862751466	4.893663077463213e-11	6.897138356821865e-09	-3.242400556320204
{count}	0.8346525243059106	0.8799034862751466	4.893663077463213e-11	6.897138356821865e-09	-3.242400556320204
{count}	0.8346525243059106	0.8799034862751466	4.893663077463213e-11	6.897138356821865e-09	-3.242400556320204
{count}	0.8346525243059106	0.8799034862751466	4.893663077463213e-11	6.897138356821865e-09	-3.242400556320204
{count}	0.8346525243059106	0.8799034862751466	4.893663077463213e-11	6.897138356821865e-09	-3.242400556320204
{count}	0.8346525243059106	0.8799034862751466	4.893663077463213e-11	6.897138356821865e-09	-3.242400556320204
{count}	0.8875532431469512	0.8561596734246758	4.799082255580556e-11	4.654864214788573e-09	-3.2592256043054793
{count}	0.8880564441609341	0.8365457817847967	4.781097815608487e-11	4.972854231192136e-09	-3.058347245976092
{count}	0.8880412445028266	0.8365874929396696	4.780944374974175e-11	4.9721709766142456e-09	-3.0587723252640506
{count}	0.8846454256789259	0.8424356399220244	4.7745010511842327e-11	4.944615148548623e-09	-3.1329603382913587
{count}	0.8846454256789259	0.8424356399220244	4.7745010511842327e-11	4.944615148548623e-09	-3.1329603382913587
{count}	0.884914518624293	0.8555414804459813	4.698900895360662e-11	4.523362122781526e-09	-3.156093930924086
{count}	0.8904283454353507	0.8380473431922172	4.757346227715478e-11	3.0019907196080183e-09	-3.020725513904652
{count}	0.8317838807150921	0.8516834702873722	4.849629283765692e-11	4.6283203377702245e-09	-2.8594440947623245
{count}	0.8407470921232887	0.8747946714102103	4.8749462180572196e-11	4.097047461687216e-09	-3.1916878099709933
{count}	0.8407470921232887	0.8747946714102103	4.8749462180572196e-11	4.097047461687216e-09	-3.1916878099709933
{count}	0.8407470921232887	0.8747946714102103	4.8749462180572196e-11	4.097047461687216e-09	-3.1916878099709933
{count}	0.8407470921232887	0.8747946714102103	4.8749462180572196e-11	4.097047461687216e-09	-3.1916878099709933
{count}	0.8407470921232887	0.8747946714102103	4.8749462180572196e-11	4.097047461687216e-09	-3.1916878099709933
{count}	0.8352642150917126	0.873794076435004	4.868493146203962e-11	4.326162742890474e-09	-3.1438220430533574
